 Fatorial usando n:
           1 #   1.0000000000000000     
           2 #   2.0000000000000000     
           3 #   6.0000000000000000     
           4 #   24.000000000000000     
           5 #   120.00000000000000     
           6 #   720.00000000000000     
           7 #   5040.0000000000000     
           8 #   40320.000000000000     
           9 #   362880.00000000000     
          10 #   3628800.0000000000     
          11 #   39916800.000000000     
          12 #   479001600.00000000     
          13 #   6227020800.0000000     
          14 #   87178291200.000000     
          15 #   1307674368000.0000     
          16 #   20922789888000.000     
          17 #   355687428096000.00     
          18 #   6402373705728000.0     
          19 #   1.2164510040883200E+017
          20 #   2.4329020081766400E+018
          21 #   5.1090942171709440E+019
          22 #   1.1240007277776077E+021
          23 #   2.5852016738884978E+022
          24 #   6.2044840173323941E+023
          25 #   1.5511210043330986E+025
          26 #   4.0329146112660565E+026
          27 #   1.0888869450418352E+028
          28 #   3.0488834461171384E+029
          29 #   8.8417619937397008E+030
          30 #   2.6525285981219103E+032
